香港頻道,#genre#
TVBS新聞台,https://everydaytv.top/play-3-53-0.html$Js=everydaytv
天映頻道,https://everydaytv.top/play-3-54-0.html$Js=everydaytv
緯來電影,https://everydaytv.top/play-3-55-0.html$Js=everydaytv
緯來日本,https://everydaytv.top/play-3-56-0.html$Js=everydaytv
緯來體育,https://everydaytv.top/play-3-57-0.html$Js=everydaytv
緯來戲劇,https://everydaytv.top/play-3-58-0.html$Js=everydaytv
緯來育樂,https://everydaytv.top/play-3-59-0.html$Js=everydaytv
緯來綜合,https://everydaytv.top/play-3-60-0.html$Js=everydaytv
星衛電影台,https://everydaytv.top/play-3-61-0.html$Js=everydaytv
星衛丨娛樂台,https://everydaytv.top/play-3-62-0.html$Js=everydaytv
影迷數位電影台,https://everydaytv.top/play-3-63-0.html$Js=everydaytv
中視,https://everydaytv.top/play-3-64-0.html$Js=everydaytv
中視BRAVO菁采,https://everydaytv.top/play-3-65-0.html$Js=everydaytv
中視新聞,https://everydaytv.top/play-3-66-0.html$Js=everydaytv
中天新聞,https://everydaytv.top/play-3-67-0.html$Js=everydaytv
🇲🇴澳門頻道,#genre#
澳門MACAU,https://everydaytv.top/play-4-0-0.html$Js=everydaytv
澳門體育,https://everydaytv.top/play-4-1-0.html$Js=everydaytv
澳門綜藝,https://everydaytv.top/play-4-2-0.html$Js=everydaytv
澳視澳門,https://everydaytv.top/play-4-3-0.html$Js=everydaytv
澳視葡文,https://everydaytv.top/play-4-4-0.html$Js=everydaytv
蓮花衛視,https://everydaytv.top/play-4-5-0.html$Js=everydaytv
